,Week,Genre,Play Share,Total Plays
133,2005-08-14 12:00:00,folk,0.0547945205479452,146
134,2005-08-14 12:00:00,Indie,0.0273972602739726,146
135,2005-08-14 12:00:00,Pop,0.0136986301369863,146
136,2005-08-21 12:00:00,Metal,0.12987012987012986,231
137,2005-08-21 12:00:00,Rock,0.5324675324675324,231
138,2005-08-21 12:00:00,Jazz,0.09523809523809523,231
139,2005-08-21 12:00:00,Pop,0.04329004329004329,231
140,2005-08-21 12:00:00,Hip Hop,0.03896103896103896,231
141,2005-08-21 12:00:00,Electronic,0.021645021645021644,231
142,2005-08-21 12:00:00,other,0.09090909090909091,231
143,2005-08-21 12:00:00,folk,0.021645021645021644,231
144,2005-08-21 12:00:00,Indie,0.025974025974025976,231
145,2005-08-28 12:00:00,other,0.1576923076923077,260
146,2005-08-28 12:00:00,Metal,0.1076923076923077,260
147,2005-08-28 12:00:00,Rock,0.5115384615384615,260
148,2005-08-28 12:00:00,Indie,0.023076923076923078,260
149,2005-08-28 12:00:00,Jazz,0.11153846153846154,260
150,2005-08-28 12:00:00,Electronic,0.015384615384615385,260
151,2005-08-28 12:00:00,Pop,0.03461538461538462,260
152,2005-08-28 12:00:00,Hip Hop,0.015384615384615385,260
153,2005-08-28 12:00:00,folk,0.023076923076923078,260
154,2005-09-11 12:00:00,other,0.19548872180451127,133
155,2005-09-11 12:00:00,Rock,0.45864661654135336,133
156,2005-09-11 12:00:00,Jazz,0.12781954887218044,133
157,2005-09-11 12:00:00,Electronic,0.022556390977443608,133
158,2005-09-11 12:00:00,Indie,0.03007518796992481,133
159,2005-09-11 12:00:00,Metal,0.08270676691729323,133
160,2005-09-11 12:00:00,folk,0.015037593984962405,133
161,2005-09-11 12:00:00,Hip Hop,0.03007518796992481,133
162,2005-09-11 12:00:00,Pop,0.03759398496240601,133
163,2005-09-18 12:00:00,Jazz,0.4909090909090909,55
164,2005-09-18 12:00:00,Rock,0.34545454545454546,55
165,2005-09-18 12:00:00,Metal,0.03636363636363636,55
166,2005-09-18 12:00:00,other,0.09090909090909091,55
167,2005-09-18 12:00:00,Pop,0.01818181818181818,55
168,2005-09-18 12:00:00,Indie,0.01818181818181818,55
169,2005-09-25 12:00:00,Metal,0.08189655172413793,232
170,2005-09-25 12:00:00,Rock,0.34913793103448276,232
171,2005-09-25 12:00:00,other,0.2025862068965517,232
172,2005-09-25 12:00:00,Jazz,0.2672413793103448,232
173,2005-09-25 12:00:00,folk,0.034482758620689655,232
174,2005-09-25 12:00:00,Hip Hop,0.017241379310344827,232
175,2005-09-25 12:00:00,Indie,0.03017241379310345,232
176,2005-09-25 12:00:00,Pop,0.008620689655172414,232
177,2005-09-25 12:00:00,Electronic,0.008620689655172414,232
178,2005-10-02 12:00:00,Jazz,0.2,365
179,2005-10-02 12:00:00,other,0.13972602739726028,365
180,2005-10-02 12:00:00,Rock,0.3095890410958904,365
181,2005-10-02 12:00:00,folk,0.09041095890410959,365
182,2005-10-02 12:00:00,Hip Hop,0.057534246575342465,365
183,2005-10-02 12:00:00,Pop,0.030136986301369864,365
184,2005-10-02 12:00:00,Electronic,0.07397260273972603,365
